iter	Logloss
0	0.6889416296
1	0.6855034181
2	0.6824788105
3	0.6800241361
4	0.6776931054
5	0.6758410084
6	0.6745079178
7	0.6730622851
8	0.6718455335
9	0.6708134221
10	0.6698991767
11	0.6689429189
12	0.6682433992
13	0.6676436694
14	0.6670749743
15	0.6665732185
16	0.6661553639
17	0.6658055627
18	0.665409581
19	0.6649840089
20	0.6646829471
21	0.6644133741
22	0.6640674111
23	0.663839314
24	0.6636079566
25	0.6634091197
26	0.6631962511
27	0.6630218458
28	0.6628509071
29	0.6626933811
30	0.6625706453
31	0.6624600428
32	0.6623089548
33	0.6621813079
34	0.6620751212
35	0.6619358776
36	0.6618278338
37	0.6617091424
38	0.661622889
39	0.6615418355
40	0.6614738645
41	0.6613901697
42	0.6612930623
43	0.6612367706
44	0.6611434188
45	0.6610920794
46	0.6610428035
47	0.6609844896
48	0.6609193249
49	0.660836992
50	0.6607639036
51	0.6607126467
52	0.660663701
53	0.6606093902
54	0.6605747237
55	0.6605223939
56	0.6604643688
57	0.6603797661
58	0.6603040364
59	0.6602548843
60	0.6601899673
61	0.6601479961
62	0.6600944694
63	0.6600516728
64	0.6599929049
65	0.6599332291
66	0.6598953023
67	0.6598444169
68	0.6597891982
69	0.6597306366
70	0.6596724878
71	0.6596243262
72	0.6595779391
73	0.6595132697
74	0.6594339082
75	0.6593780705
76	0.6593263184
77	0.6592441093
78	0.6591994556
79	0.6591430814
80	0.6590868722
81	0.6590520819
82	0.6590136186
83	0.6589888569
84	0.6589524571
85	0.6589208859
86	0.6588744988
87	0.6588447022
88	0.6588041342
89	0.6587700867
90	0.6587297663
91	0.6586940269
92	0.6586678619
93	0.658628532
94	0.6586034401
95	0.6585646054
96	0.6585251104
97	0.6584777329
98	0.6584297364
99	0.658382689
100	0.6583415845
101	0.6582925562
102	0.6582450136
103	0.6582051059
104	0.6581522809
105	0.6581343698
106	0.6580987129
107	0.6580659449
108	0.6580239324
109	0.6579739137
110	0.6579309107
111	0.6578796952
112	0.6578489493
113	0.6577914608
114	0.6577430103
115	0.6577166802
116	0.6576645155
117	0.6576222967
118	0.657603065
119	0.6575571733
120	0.6575257671
121	0.6574916784
122	0.6574491294
123	0.6573956853
124	0.6573663014
125	0.6573258984
126	0.6572842574
127	0.657251737
128	0.657227718
129	0.6572122419
130	0.6571574772
131	0.6571304043
132	0.657093922
133	0.6570653634
134	0.6570313986
135	0.6570025099
136	0.6569573196
137	0.6569287611
138	0.6568761423
139	0.656851752
140	0.6568057777
141	0.6567846889
142	0.6567466383
143	0.6567018196
144	0.6566785022
145	0.6566526262
146	0.656638512
147	0.656611728
148	0.6565570871
149	0.656522792
150	0.6564912621
151	0.6564581226
152	0.6564236212
153	0.6563655961
154	0.6563141742
155	0.6562779395
156	0.6562334509
157	0.6561929241
158	0.6561499625
159	0.6561236738
160	0.6560859946
161	0.656056198
162	0.6560259474
163	0.6559894238
164	0.6559789
165	0.6559572747
166	0.6559343288
167	0.6559027989
168	0.6558764689
169	0.6558434532
170	0.6557895964
171	0.6557516283
172	0.655718365
173	0.6556848954
174	0.6556276545
175	0.6556014483
176	0.6555804008
177	0.6555683088
178	0.6555473438
179	0.6555111504
180	0.6554919188
181	0.6554534555
182	0.655432862
183	0.6553903543
184	0.6553441323
185	0.6553158626
186	0.6552804533
187	0.6552371203
188	0.6552067046
189	0.6551625874
190	0.655127013
191	0.6551106702
192	0.6550606927
193	0.6550313913
194	0.6549943312
195	0.6549306522
196	0.6548986683
197	0.6548657351
198	0.6548456781
199	0.6548266528
200	0.654793307
201	0.6547673897
202	0.6547484469
203	0.6547068472
204	0.6546656601
205	0.6545991748
206	0.6545751559
207	0.6545456894
208	0.6545061119
209	0.6544513884
210	0.6544246044
211	0.6543820967
212	0.6543552715
213	0.6542978242
214	0.654267491
215	0.6542138406
216	0.6541861899
217	0.6541444664
218	0.6541029492
219	0.6540769906
220	0.654047359
221	0.6540109592
222	0.6539663881
223	0.6539326295
224	0.65390729
225	0.6538656077
226	0.6538349031
227	0.6538011446
228	0.6537748559
229	0.6537375894
230	0.6537090308
231	0.6536725898
232	0.653654101
