iter	Passed	Remaining
0	9131	3643603
1	9141	1819063
2	9149	1210762
3	9156	906457
4	9163	723949
5	9173	602414
6	9183	515581
7	9190	450329
8	9198	399644
9	9207	359087
10	9214	325868
11	9223	298221
12	9234	274900
13	9242	254835
14	9250	237417
15	9257	222179
16	9266	208763
17	9275	196839
18	9282	186140
19	9290	176524
20	9298	167813
21	9307	159914
22	9314	152680
23	9323	146067
24	9330	139956
25	9337	134323
26	9345	129110
27	9356	124305
28	9366	119822
29	9375	115625
30	9383	111694
31	9392	108018
32	9402	104562
33	9412	101324
34	9419	98229
35	9427	95317
36	9434	92556
37	9440	89933
38	9448	87460
39	9455	85099
40	9464	82874
41	9471	80733
42	9478	78691
43	9484	76741
44	9493	74895
45	9501	73122
46	9510	71432
47	9520	69815
48	9528	68256
49	9535	66749
50	9542	65300
51	9548	63904
52	9555	62562
53	9563	61275
54	9571	60039
55	9578	58841
56	9586	57685
57	9596	56585
58	9606	55522
59	9614	54480
60	9622	53477
61	9631	52507
62	9638	51559
63	9645	50641
64	9653	49753
65	9664	48906
66	9674	48081
67	9682	47271
68	9688	46477
69	9696	45712
70	9703	44964
71	9710	44236
72	9717	43528
73	9724	42840
74	9731	42168
75	9738	41515
76	9746	40886
77	9753	40265
78	9761	39662
79	9768	39074
80	9775	38498
81	9782	37936
82	9789	37389
83	9795	36851
84	9802	36328
85	9809	35816
86	9815	35313
87	9821	34822
88	9829	34346
89	9835	33879
90	9842	33420
91	9848	32971
92	9854	32531
93	9862	32104
94	9869	31685
95	9876	31274
96	9883	30873
97	9890	30480
98	9899	30097
99	9906	29718
100	9913	29346
101	9920	28983
102	9929	28631
103	9939	28289
104	9948	27950
105	9958	27621
106	9966	27291
107	9975	26970
108	9982	26649
109	9989	26336
110	9997	26028
111	10004	25724
112	10010	25424
113	10017	25130
114	10024	24844
115	10031	24560
116	10038	24281
117	10045	24006
118	10051	23735
119	10058	23470
120	10064	23207
121	10071	22949
122	10078	22696
123	10084	22446
124	10091	22202
125	10101	21965
126	10107	21727
127	10115	21494
128	10123	21267
129	10130	21039
130	10137	20816
131	10144	20597
132	10154	20384
133	10163	20174
134	10170	19965
135	10179	19760
136	10187	19556
137	10195	19356
138	10203	19158
139	10210	18961
140	10218	18769
141	10225	18578
142	10232	18390
143	10239	18203
144	10246	18020
145	10253	17838
146	10260	17659
147	10272	17490
148	10279	17316
149	10286	17144
150	10295	16976
151	10301	16808
152	10309	16643
153	10316	16479
154	10323	16318
155	10331	16160
156	10339	16003
157	10349	15852
158	10358	15700
159	10364	15547
160	10371	15396
161	10377	15246
162	10384	15098
163	10391	14953
164	10398	14810
165	10405	14668
